127.0.0.1 - - [23/Aug/2023:10:42:43 +0900] "GET / HTTP/1.1" 200 6983
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:42:45 +0900] "GET / HTTP/1.1" 200 6983
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:42:45 +0900] "GET /resources/images/logo4.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:42:45 +0900] "GET /resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:42:45 +0900] "GET /resources/images/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:42:57 +0900] "GET / HTTP/1.1" 200 6983
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:42:57 +0900] "GET /resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:42:57 +0900] "GET /resources/images/logo4.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:42:57 +0900] "GET /resources/images/img4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:42:58 +0900] "GET /assets/favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:43:08 +0900] "GET /member/signin HTTP/1.1" 200 6657
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:43:08 +0900] "GET /member/resources/bootstrap/sb-admin-2.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:43:08 +0900] "GET /member/resources/bootstrap/sb-admin-2.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:43:08 +0900] "GET /member/resources/bootstrap/sb-admin-2.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:43:09 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:43:24 +0900] "POST /member/signin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:43:24 +0900] "GET /member/signin HTTP/1.1" 200 6743
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:43:24 +0900] "GET /member/resources/bootstrap/sb-admin-2.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:43:24 +0900] "GET /member/resources/bootstrap/sb-admin-2.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:43:24 +0900] "GET /member/resources/bootstrap/sb-admin-2.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:43:33 +0900] "POST /member/signin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:43:33 +0900] "GET / HTTP/1.1" 200 7079
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:43:42 +0900] "GET /member/signout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:43:42 +0900] "GET / HTTP/1.1" 200 6983
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:43:44 +0900] "GET /member/signin HTTP/1.1" 200 6657
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:43:44 +0900] "GET /member/resources/bootstrap/sb-admin-2.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:43:44 +0900] "GET /member/resources/bootstrap/sb-admin-2.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:43:44 +0900] "GET /member/resources/bootstrap/sb-admin-2.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:43:57 +0900] "POST /member/signin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:43:57 +0900] "GET / HTTP/1.1" 200 7190
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:44:04 +0900] "GET /admin/index HTTP/1.1" 200 6488
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:44:04 +0900] "GET /admin/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:44:04 +0900] "GET /resources/images/logo5.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:44:04 +0900] "GET /resources/images/img5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:44:04 +0900] "GET /admin/assets/favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:44:18 +0900] "GET / HTTP/1.1" 200 7190
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:44:21 +0900] "GET /admin/index HTTP/1.1" 200 6488
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:44:21 +0900] "GET /admin/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:44:23 +0900] "GET / HTTP/1.1" 200 7190
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:44:27 +0900] "GET /shop/orderList HTTP/1.1" 200 5772
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:44:33 +0900] "GET /shop/cartList HTTP/1.1" 200 15878
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:44:43 +0900] "GET /admin/index HTTP/1.1" 200 6488
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:44:43 +0900] "GET /admin/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:44:51 +0900] "GET / HTTP/1.1" 200 7190
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:44:53 +0900] "GET / HTTP/1.1" 200 7190
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:45:08 +0900] "GET /admin/index HTTP/1.1" 200 6488
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:45:08 +0900] "GET /admin/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:45:13 +0900] "GET / HTTP/1.1" 200 7190
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:45:15 +0900] "GET /admin/index HTTP/1.1" 200 6488
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:45:15 +0900] "GET /admin/js/scripts.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Aug/2023:10:45:16 +0900] "GET / HTTP/1.1" 200 7190
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:30:22 +0900] "GET /shop/list?c=100&l=1 HTTP/1.1" 200 7971
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:30:22 +0900] "GET /imgUpload/2023/08/16/s/s_08a98d0c-bc61-4936-8253-f663f2bcd2d0_dog2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2023:11:30:22 +0900] "GET /imgUpload/2023/08/16/s/s_9d083b55-8089-4029-b3a3-67d945ad6ffb_dog2.jpg HTTP/1.1" 304 -
