127.0.0.1 - - [01/Sep/2023:10:05:55 +0900] "GET / HTTP/1.1" 200 19514
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET / HTTP/1.1" 200 19514
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /resources/bootstrap/sb-admin-2.min.css HTTP/1.1" 200 170737
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /resources/jquery/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /resources/startbootstrap-sb-admin-2-gh-pages/vendor/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 200 5229
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /resources/bootstrap/sb-admin-2.css HTTP/1.1" 200 211157
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /resources/startbootstrap-sb-admin-2-gh-pages/js/sb-admin-2.min.js HTTP/1.1" 200 1265
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /resources/startbootstrap-sb-admin-2-gh-pages/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /resources/images/banner1.png HTTP/1.1" 200 43417
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /resources/images/logo4.JPG HTTP/1.1" 200 40694
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /resources/startbootstrap-sb-admin-2-gh-pages/vendor/chart.js/Chart.min.js HTTP/1.1" 200 173077
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /resources/startbootstrap-sb-admin-2-gh-pages/js/demo/chart-pie-demo.js HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /resources/startbootstrap-sb-admin-2-gh-pages/js/demo/datatables-demo.js HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /resources/startbootstrap-sb-admin-2-gh-pages/vendor/datatables/jquery.dataTables.min.js HTTP/1.1" 200 83602
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /resources/startbootstrap-sb-admin-2-gh-pages/vendor/datatables/dataTables.bootstrap4.min.js HTTP/1.1" 200 2098
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /resources/startbootstrap-sb-admin-2-gh-pages/js/demo/chart-area-demo.js HTTP/1.1" 200 3569
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /resources/css/styles.css HTTP/1.1" 200 236939
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /resources/images/book-80.png HTTP/1.1" 200 1339
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /resources/startbootstrap-sb-admin-2-gh-pages/vendor/jquery/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /resources/startbootstrap-sb-admin-2-gh-pages/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 84378
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /imgUpload/2023/08/17/s/s_49e0c138-1d39-44c0-92db-ff9ae62464b2_novel3.jpg HTTP/1.1" 200 10910
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /resources/images/banner2.jpg HTTP/1.1" 200 25502
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /imgUpload/2023/08/17/s/s_e1b9d9ec-1dde-461b-94fc-c5773de572f1_novel2.jpg HTTP/1.1" 200 10657
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /imgUpload/2023/08/16/s/s_9d083b55-8089-4029-b3a3-67d945ad6ffb_dog2.jpg HTTP/1.1" 200 15406
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:57 +0900] "GET /imgUpload/2023/08/17/s/s_c5bd44e8-f5a0-49e2-8b7b-212dc34805d7_novel1.jpg HTTP/1.1" 200 16109
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:58 +0900] "GET /resources/images/img4.jpg HTTP/1.1" 200 429623
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:05:58 +0900] "GET /resources/images/img6.webp HTTP/1.1" 200 151202
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:06:14 +0900] "GET / HTTP/1.1" 200 19514
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:06:14 +0900] "GET /resources/bootstrap/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:06:14 +0900] "GET /resources/bootstrap/sb-admin-2.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:06:14 +0900] "GET /resources/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Sep/2023:10:06:14 +0900] "GET /resources/startbootstrap-sb-admin-2-gh-pages/vendor/datatables/dataTables.bootstrap4.min.css HTTP/1.1" 304 -
